,date,Investments,Current Assets,Retirement,Houses,Savings,Available Total,Total
16,2023-08-20,44092.55165487280000000000000,33125.75,550438.872149480,410000,0,77218.30165487280000000000000,1037657.173804352800000000000
17,2023-07-20,44092.55165487280000000000000,32756.27,549047.257898480,410000,0,76848.82165487280000000000000,1035896.079553352800000000000
18,2023-06-20,44077.44765487280000000000000,33939.91,548714.270947680,410000,0,78017.35765487280000000000000,1036731.628602552800000000000
19,2023-05-20,44077.44765487280000000000000,36696.37,547319.392868380,410000,0,80773.81765487280000000000000,1038093.210523252800000000000
20,2023-04-20,44077.44765487280000000000000,32455.48,536201.502622280,410000,0,76532.92765487280000000000000,1022734.430277152800000000000
21,2023-03-20,44010.92765487280000000000000,31509.69,536215.509864180,410000,0,75520.61765487280000000000000,1021736.127519052800000000000
22,2023-02-20,44130.62368287280000000000000,30154.48,536137.400185180,410000,0,74285.10368287280000000000000,1020422.503868052800000000000
23,2023-01-20,44130.62368287280000000000000,32349.11,534807.558244080,400000,0,76479.73368287280000000000000,1011287.291926952800000000000
24,2022-12-20,44130.62368287280000000000000,37406.89,534841.634253180,400000,0,81537.51368287280000000000000,1016379.147936052800000000000
25,2022-11-20,44120.73968287280000000000000,39146.54,533461.233848580,400000,0,83267.27968287280000000000000,1016728.513531452800000000000
26,2022-10-20,44120.73968287280000000000000,39009.11,532055.428201680,400000,0,83129.84968287280000000000000,1015185.277884552800000000000
27,2022-09-20,44120.73968287280000000000000,40662.11,530653.977426580,400000,0,84782.84968287280000000000000,1015436.827109452800000000000
28,2022-08-20,44120.73968287280000000000000,40567.00,531939.539537380,400000,0,84687.73968287280000000000000,1016627.279220252800000000000
29,2022-07-20,44029.14443178530000000000000,40963.73,530628.343223380,400000,0,84992.87443178530000000000000,1015621.217655165300000000000
30,2022-06-20,44016.78043178530000000000000,41386.62,530749.649510080,400000,0,85403.40043178530000000000000,1016153.049941865300000000000
31,2022-05-20,44016.78043178530000000000000,41056.63,529340.822326480,400000,0,85073.41043178530000000000000,1014414.232758265300000000000
32,2022-04-20,44016.78043178530000000000000,34816.20,527985.200668680,400000,0,78832.98043178530000000000000,1006818.181100465300000000000
33,2022-03-20,44016.78043178530000000000000,33976.15,526727.090651480,400000,0,77992.93043178530000000000000,1004720.021083265300000000000
34,2022-02-20,44016.78043178530000000000000,35024.15,526728.966066380,400000,0,79040.93043178530000000000000,1005769.896498165300000000000
35,2022-01-20,44016.78043178530000000000000,38114.98,525438.659171380,360000,0,82131.76043178530000000000000,967570.4196031653000000000000
36,2021-12-20,44016.77982963530000000000000,40049.15,524207.835400980,360000,0,84065.92982963530000000000000,968273.7652306153000000000000
37,2021-11-20,44009.35982963530000000000000,26749.90,522956.104656980,360000,0,70759.25982963530000000000000,953715.3644866153000000000000
38,2021-10-20,44009.35982963530000000000000,26146.16,521734.648952980,360000,0,70155.51982963530000000000000,951890.1687826153000000000000
39,2021-09-20,44006.01782963530000000000000,28123.28,520447.757485980,360000,0,72129.29782963530000000000000,952577.0553156153000000000000
40,2021-08-20,44006.01782963530000000000000,32543.39,520412.396521980,360000,0,76549.40782963530000000000000,956961.8043516153000000000000
41,2021-07-20,44000.03782963530000000000000,44452.30,519133.911522980,360000,0,88452.33782963530000000000000,967586.2493526153000000000000
42,2021-06-20,43990.42782963530000000000000,59072.06,517840.301827980,360000,0,103062.4878296353000000000000,980902.7896576153000000000000
43,2021-05-20,43990.42782963530000000000000,60699.94,516527.347342980,360000,0,104690.3678296353000000000000,981217.7151726153000000000000
44,2021-04-20,43990.42782963530000000000000,82159.45,515159.622425980,360000,0,126149.8778296353000000000000,1001309.500255615300000000000
45,2021-03-20,44017.94782963530000000000000,80718.14,513826.319721980,360000,0,124736.0878296353000000000000,998562.4075516153000000000000
46,2021-02-20,44017.94782963530000000000000,80460.36,513880.516490980,360000,0,124478.3078296353000000000000,998358.8243206153000000000000
47,2021-01-20,44017.94782963530000000000000,82331.54,512547.383896980,340000,0,126349.4878296353000000000000,978896.8717266153000000000000
48,2020-12-20,45167.90782963530000000000000,80768.18,511187.695550980,340000,0,125936.0878296353000000000000,977123.7833806153000000000000
49,2020-11-20,39873.32782963530000000000000,63053.12,509810.761626980,340000,0,102926.4478296353000000000000,952737.2094566153000000000000
50,2020-10-20,39809.24782963530000000000000,63774.45,508377.399637980,340000,0,103583.6978296353000000000000,951961.0974676153000000000000
51,2020-09-20,49263.21037850230000000000000,59171.05,506920.730901980,340000,0,108434.2603785023000000000000,955354.9912804823000000000000
52,2020-08-20,49263.21037850230000000000000,53212.79,507113.350438220,340000,0,102476.0003785023000000000000,949589.3508167223000000000000
53,2020-07-20,49263.21037850230000000000000,53923.26,505607.262560820,340000,0,103186.4703785023000000000000,948793.7329393223000000000000
54,2020-06-20,49253.04637850230000000000000,54034.33,504380.585769620,340000,0,103287.3763785023000000000000,947667.9621481223000000000000
55,2020-05-20,49226.86534762630000000000000,54006.66,503109.873415220,340000,0,103233.5253476263000000000000,946343.3987628463000000000000
56,2020-04-20,49151.54123278630000000000000,47923.38,501766.164854320,340000,0,97074.92123278630000000000000,938841.0860871063000000000000
57,2020-03-20,49151.54123278630000000000000,49449.17,500356.067426620,340000,0,98600.71123278630000000000000,938956.7786594063000000000000
